filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165895_cube.fits,45.0,0.0,2338165.3311335556,0.5412684740366608,536295.0751527362,1801870.2559808197,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165896_cube.fits,45.0,11.25,2331986.41404563,0.5428958615031368,532980.3203893586,1799006.0936562717,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165897_cube.fits,45.0,22.5,2319068.0378436595,0.540358886700428,532969.5073659569,1786098.5304777026,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165898_cube.fits,45.0,33.75,2310218.1696439832,0.5414760905695951,529645.1333911568,1780573.0362528265,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165899_cube.fits,45.0,45.0,2305318.951401308,0.5394112894039095,530901.94166933,1774417.0097319782,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165900_cube.fits,45.0,56.25,2299073.3566464484,0.5409298858219665,527717.9341696799,1771355.4224767685,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165901_cube.fits,45.0,67.5,2285861.467757944,0.5420558614280236,523398.4303736426,1762463.0373843014,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165902_cube.fits,45.0,78.75,2284057.1596059464,0.5406045030784178,524642.7869172357,1759414.3726887107,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165903_cube.fits,45.0,90.0,2281485.12253608,0.5405261112816329,524141.4206523765,1757343.7018837037,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165904_cube.fits,57.5,0.0,2297803.645613566,0.1896161524440656,931051.4796301872,1366752.165983379,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165905_cube.fits,57.5,11.25,2294266.9147216976,0.1867812127391585,932870.4790213256,1361396.435700372,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165906_cube.fits,57.5,22.5,2291209.6476446167,0.187425702016998,930889.0354833528,1360320.6121612638,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165907_cube.fits,57.5,33.75,2288268.765129164,0.186200386524811,931096.1182947308,1357172.646834433,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165908_cube.fits,57.5,45.0,2284503.50883545,0.1876047957054701,927959.8473859729,1356543.661449477,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165909_cube.fits,57.5,56.25,2284583.1931612864,0.1869390172036463,928752.7281558736,1355830.4650054127,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165910_cube.fits,57.5,67.5,2284440.214946598,0.1889049956366275,926449.0230549872,1357991.1918916106,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165911_cube.fits,57.5,78.75,2283891.374861017,0.1870415703932809,928354.3727496712,1355537.0021113455,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165912_cube.fits,57.5,90.0,2284550.725994885,0.1868717963845308,928816.3139483184,1355734.4120465666,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165913_cube.fits,70.0,0.0,2331945.7512854934,-0.4567392534458019,1698518.4564018697,633427.2948836237,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165914_cube.fits,70.0,11.25,2329667.9038222283,-0.456127635997876,1696146.9087263942,633520.9950958341,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165915_cube.fits,70.0,22.5,2325835.4428514093,-0.4582618496686572,1695838.5474587083,629996.895392701,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165916_cube.fits,70.0,33.75,2329851.336112447,-0.456831149436767,1697100.0000027418,632751.3361097053,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165917_cube.fits,70.0,45.0,2326194.6004880816,-0.4582921052292543,1696135.6105593443,630058.9899287373,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165918_cube.fits,70.0,56.25,2327249.353608556,-0.4581721054429022,1696765.0449210107,630484.3086875454,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165919_cube.fits,70.0,67.5,2324139.9562570974,-0.4569150000599247,1693037.1822547913,631102.7740023062,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165920_cube.fits,70.0,78.75,2321749.243011698,-0.4586982739532136,1693365.8066666722,628383.4363450259,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165921_cube.fits,70.0,90.0,2325111.0425295755,-0.4583971416492132,1695467.6492210776,629643.393308498,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165922_cube.fits,82.5,0.0,2357945.9446535893,-0.927957066792247,2273009.273554504,84936.67109908533,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165923_cube.fits,82.5,11.25,2367093.805788056,-0.9278089876985102,2281652.356761843,85441.44902621285,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165924_cube.fits,82.5,22.5,2361510.9206243195,-0.9281256697054064,2276644.9126726985,84866.00795162097,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165925_cube.fits,82.5,33.75,2363608.5730062495,-0.9279168198046854,2278420.3616666496,85188.21133959985,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165926_cube.fits,82.5,45.0,2365070.892778744,-0.925923950137194,2277473.3380874693,87597.55469127459,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165927_cube.fits,82.5,56.25,2362832.100408963,-0.9272746201543484,2276913.1694020927,85918.9310068702,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165928_cube.fits,82.5,67.5,2362563.5762419556,-0.9275779629245292,2277012.7427860796,85550.83345587601,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165929_cube.fits,82.5,78.75,2361260.400795401,-0.9291544466413816,2277618.00093633,83642.39985907158,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165930_cube.fits,82.5,90.0,2360873.6903846804,-0.9275104574987196,2275304.363525033,85569.32685964755,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165931_cube.fits,95.0,0.0,2375557.7156614675,-0.9081955858546676,2266514.373484105,109043.34217736249,1199.6971
