filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162881_cube.fits, 45.0, 0.0, 281325682.57354546, -0.6002210843743482, 225091644.41509628, 56234038.15844917, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162882_cube.fits, 45.0, 11.25, 281351306.9619379, -0.600417690702996, 225139804.48214722, 56211502.47979069, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162883_cube.fits, 45.0, 22.5, 281174072.423501, -0.6000394557510259, 224944804.90589905, 56229267.51760197, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162884_cube.fits, 45.0, 33.75, 280942239.34968853, -0.6000784191925628, 224764807.11153412, 56177432.23815441, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162885_cube.fits, 45.0, 45.0, 280980055.74180603, -0.6003482876413827, 224832975.53388977, 56147080.20791626, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162886_cube.fits, 45.0, 56.25, 280623945.9157648, -0.5998830972468878, 224482753.87667847, 56141192.03908634, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162887_cube.fits, 45.0, 67.5, 280380146.5120506, -0.5996914204013826, 224260857.413105, 56119289.09894562, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162888_cube.fits, 45.0, 78.75, 280622499.22539234, -0.6003034539438661, 224540577.38237762, 56081921.84301472, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162889_cube.fits, 45.0, 90.0, 280692896.11535645, -0.6005961965675902, 224637990.96289062, 56054905.15246582, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162890_cube.fits, 57.5, 0.0, 280039699.45129013, -0.683069218580193, 235663099.0634575, 44376600.38783264, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162891_cube.fits, 57.5, 11.25, 279578773.7888241, -0.6824695824905401, 235191391.40485, 44387382.383974075, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162892_cube.fits, 57.5, 22.5, 279701836.7464113, -0.6827794662704848, 235338253.77750015, 44363582.96891117, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162893_cube.fits, 57.5, 33.75, 279662776.34440804, -0.6829836975068605, 235333946.693573, 44328829.65083504, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162894_cube.fits, 57.5, 45.0, 279445952.3161545, -0.6826316483533367, 235102301.68569946, 44343650.63045502, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162895_cube.fits, 57.5, 56.25, 279350002.0497494, -0.6828600744676652, 235053482.62599182, 44296519.42375755, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162896_cube.fits, 57.5, 67.5, 279174444.7011061, -0.6826341848372122, 234874232.0935135, 44300212.60759258, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162897_cube.fits, 57.5, 78.75, 278907943.2153921, -0.682290012268267, 234602023.60676956, 44305919.60862255, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162898_cube.fits, 57.5, 90.0, 279069669.93806744, -0.6826846977161296, 234793131.60073853, 44276538.33732891, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162899_cube.fits, 70.0, 0.0, 281174665.8623483, -0.8480981213282356, 259819185.87265015, 21355479.98969817, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162900_cube.fits, 70.0, 11.25, 281223166.1498413, -0.8481066975383567, 259865208.4322319, 21357957.717609406, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162901_cube.fits, 70.0, 22.5, 280980530.7616544, -0.8480712914351659, 259636026.1764145, 21344504.585239887, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162902_cube.fits, 70.0, 33.75, 280992155.95522094, -0.8481429179988778, 259656831.52093887, 21335324.434282064, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162903_cube.fits, 70.0, 45.0, 280571745.26309633, -0.8479543576715619, 259241889.64922714, 21329855.61386919, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162904_cube.fits, 70.0, 56.25, 280928616.13354874, -0.8481860207668522, 259604170.585701, 21324445.547847748, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162905_cube.fits, 70.0, 67.5, 280596135.30489993, -0.8481195441031838, 259287600.82840347, 21308534.476496458, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162906_cube.fits, 70.0, 78.75, 280694440.4666288, -0.8481317797773789, 259380157.9166031, 21314282.5500257, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162907_cube.fits, 70.0, 90.0, 280271666.9437249, -0.8480254374737575, 258974584.9575882, 21297081.986136675, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162908_cube.fits, 82.5, 0.0, 282913721.1097206, -0.9746493029994948, 279327691.0991516, 3586030.0105689764, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162909_cube.fits, 82.5, 11.25, 282602927.4641333, -0.9746705484076041, 279023838.87859726, 3579088.5855360627, 2067.8395
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162910_cube.fits, 82.5, 22.5, 282480975.64376825, -0.9746587526485916, 278901765.5058403, 3579210.1379279494, 2067.8395
